model_key,model_name,model_path,Accuracy,Precision,Recall,F1-Score
logistic_regression,Régression Logistique,/Users/justine/Desktop/ml-poc-project/models/logistic_regression.pkl,0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403
random_forest,Random Forest,/Users/justine/Desktop/ml-poc-project/models/random_forest.pkl,0.9344262295081968,0.875,1.0,0.9333333333333333
gradient_boosting,Gradient Boosting,/Users/justine/Desktop/ml-poc-project/models/gradient_boosting.pkl,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413
